#Source de ce jeu de données : https://coronavirus.politologue.com - Les données proposées dans ce fichier sont une compilation des données proposées par le CSSE (The Johns Hopkins University) https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6
#Les données de ce fichier sont celles qui sont produites pour générer les graphiques sur https: //coronavirus.politologue.com
#Vous pouvez utiliser ces données sans problème et une référence à https://coronavirus.politologue.com sera appréciable
Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2020-08-17;Andorre;989;53;863;5.36;87.26;7.38
2020-08-17;Émirats Arabes Unis;64312;364;57694;0.57;89.71;9.72
2020-08-17;Afghanistan;37596;1375;27166;3.66;72.26;24.09
2020-08-17;Antigua-et-Barbuda;93;3;88;3.23;94.62;2.15
2020-08-17;Albanie;7380;228;3794;3.09;51.41;45.50
2020-08-17;Arménie;41663;818;34584;1.96;83.01;15.03
2020-08-17;Angola;1906;88;628;4.62;32.95;62.43
2020-08-17;Argentine;294569;5703;211702;1.94;71.87;26.20
2020-08-17;Autriche;23370;728;20681;3.12;88.49;8.39
2020-08-17;Australie;23559;421;14537;1.79;61.70;36.51
2020-08-17;Azerbaïdjan;34219;506;31875;1.48;93.15;5.37
2020-08-17;Bosnie-Herzégovine;15801;471;9619;2.98;60.88;36.14
2020-08-17;Barbade;151;7;122;4.64;80.79;14.57
2020-08-17;Bangladesh;276549;3657;158950;1.32;57.48;41.20
2020-08-17;Belgique;78323;9939;17994;12.69;22.97;64.34
2020-08-17;Burkina Faso;1267;55;1013;4.34;79.95;15.71
2020-08-17;Bulgarie;14365;498;9186;3.47;63.95;32.59
2020-08-17;Bahreïn;46835;170;43128;0.36;92.08;7.55
2020-08-17;Burundi;413;1;315;0.24;76.27;23.49
2020-08-17;Bénin;2063;39;1690;1.89;81.92;16.19
2020-08-17;Saint Barthélemy;13;0;9;0.00;69.23;30.77
2020-08-17;Brunéi Darussalam;142;3;138;2.11;97.18;0.70
2020-08-17;Bolivie;100344;4058;36491;4.04;36.37;59.59
2020-08-17;Brésil;3340197;107852;2655017;3.23;79.49;17.28
2020-08-17;Bahamas;1315;18;189;1.37;14.37;84.26
2020-08-17;Bhoutan;141;0;103;0.00;73.05;26.95
2020-08-17;Botswana;1214;3;120;0.25;9.88;89.87
2020-08-17;Bélarus;69516;610;67072;0.88;96.48;2.64
2020-08-17;Belize;452;3;35;0.66;7.74;91.59
2020-08-17;Canada;124004;9074;110202;7.32;88.87;3.81
2020-08-17;Rép. Dém. du Congo;9676;240;8705;2.48;89.96;7.55
2020-08-17;République Centrafricaine;4652;61;1728;1.31;37.15;61.54
2020-08-17;Congo (Brazzaville);3831;76;1625;1.98;42.42;55.60
2020-08-17;Suisse;38124;1991;33300;5.22;87.35;7.43
2020-08-17;Côte d'Ivoire;17026;110;13947;0.65;81.92;17.44
2020-08-17;Chili;385946;10452;358828;2.71;92.97;4.32
2020-08-17;Cameroun;18469;401;16540;2.17;89.56;8.27
2020-08-17;Chine;84849;4634;79605;5.46;93.82;0.72
2020-08-17;Colombie;468332;15097;287436;3.22;61.37;35.40
2020-08-17;Costa Rica;28465;294;9062;1.03;31.84;67.13
2020-08-17;Cuba;3316;88;2620;2.65;79.01;18.34
2020-08-17;Cap-vert;3179;35;2317;1.10;72.88;26.01
2020-08-17;Chypre;1339;20;870;1.49;64.97;33.53
2020-08-17;République Tchèque;20012;397;13799;1.98;68.95;29.06
2020-08-17;Allemagne;225016;9236;201872;4.10;89.71;6.18
2020-08-17;Djibouti;5369;59;5202;1.10;96.89;2.01
2020-08-17;Danemark;15631;621;13354;3.97;85.43;10.59
2020-08-17;Dominique;18;0;18;0.00;100.00;0.00
2020-08-17;République Dominicaine;86309;1453;52905;1.68;61.30;37.02
2020-08-17;Algérie;38583;1370;27017;3.55;70.02;26.43
2020-08-17;Équateur;101542;6070;87022;5.98;85.70;8.32
2020-08-17;Estonie;2190;63;1976;2.88;90.23;6.89
2020-08-17;Égypte;96475;5160;59743;5.35;61.93;32.73
2020-08-17;Sahara Occidental;10;1;8;10.00;80.00;10.00
2020-08-17;Érythrée;285;0;248;0.00;87.02;12.98
2020-08-17;Espagne;342813;28617;150376;8.35;43.87;47.79
2020-08-17;Éthiopie;29876;528;12359;1.77;41.37;56.87
2020-08-17;Finlande;7731;333;7050;4.31;91.19;4.50
2020-08-17;Fidji;28;1;20;3.57;71.43;25.00
2020-08-17;Îles Féroé;372;0;225;0.00;60.48;39.52
2020-08-17;France;258280;30410;83848;11.77;32.46;55.76
2020-08-17;Gabon;8225;51;6277;0.62;76.32;23.06
2020-08-17;Royaume-Uni;320128;46791;1296;14.62;0.40;84.98
2020-08-17;Grenade;24;0;23;0.00;95.83;4.17
2020-08-17;Géorgie;1336;17;1088;1.27;81.44;17.29
2020-08-17;Guyane Française;8588;53;7893;0.62;91.91;7.48
2020-08-17;Ghana;42532;231;40362;0.54;94.90;4.56
2020-08-17;Gibraltar;215;0;190;0.00;88.37;11.63
2020-08-17;Gambie;1872;63;401;3.37;21.42;75.21
2020-08-17;Guinée;8482;51;7364;0.60;86.82;12.58
2020-08-17;Guadeloupe;446;14;289;3.14;64.80;32.06
2020-08-17;Guinée Équatoriale;4821;83;2182;1.72;45.26;53.02
2020-08-17;Grèce;7075;228;1347;3.22;19.04;77.74
2020-08-17;Guatemala;62562;2379;50692;3.80;81.03;15.17
2020-08-17;Guinée-Bissau;2117;33;1015;1.56;47.95;50.50
2020-08-17;Guyana;709;23;349;3.24;49.22;47.53
2020-08-17;Hong-Kong;4480;69;3549;1.54;79.22;19.24
2020-08-17;Honduras;50502;1575;7339;3.12;14.53;82.35
2020-08-17;Croatie;6571;166;5220;2.53;79.44;18.03
2020-08-17;Haïti;7879;196;5235;2.49;66.44;31.07
2020-08-17;Hongrie;4916;608;3623;12.37;73.70;13.93
2020-08-17;Indonésie;139549;6150;93103;4.41;66.72;28.88
2020-08-17;Irlande;27257;1774;23364;6.51;85.72;7.77
2020-08-17;Israël;92680;685;68510;0.74;73.92;25.34
2020-08-17;Inde;2647663;50921;1919842;1.92;72.51;25.57
2020-08-17;Iraq;176931;5860;125374;3.31;70.86;25.83
2020-08-17;Iran;343203;19639;297486;5.72;86.68;7.60
2020-08-17;Islande;2011;10;1880;0.50;93.49;6.02
2020-08-17;Italie;253915;35396;203786;13.94;80.26;5.80
2020-08-17;Jamaïque;1113;14;764;1.26;68.64;30.10
2020-08-17;Jordanie;1378;11;1236;0.80;89.70;9.51
2020-08-17;Japon;56074;1103;40560;1.97;72.33;25.70
2020-08-17;Kenya;30120;474;16656;1.57;55.30;43.13
2020-08-17;Kirghizistan;41991;1496;34537;3.56;82.25;14.19
2020-08-17;Cambodge;273;0;238;0.00;87.18;12.82
2020-08-17;Comores;405;7;379;1.73;93.58;4.69
2020-08-17;Saint-Kitts-et-Nevis;17;0;17;0.00;100.00;0.00
2020-08-17;Corée du Sud;15515;305;13917;1.97;89.70;8.33
2020-08-17;Koweït;76205;501;68135;0.66;89.41;9.93
2020-08-17;Kazakhstan;103033;1269;82777;1.23;80.34;18.43
2020-08-17;Laos;22;0;19;0.00;86.36;13.64
2020-08-17;Liban;8881;103;2724;1.16;30.67;68.17
2020-08-17;Sainte-Lucie;25;0;25;0.00;100.00;0.00
2020-08-17;Liechtenstein;91;1;87;1.10;95.60;3.30
2020-08-17;Sri Lanka;2893;11;2670;0.38;92.29;7.33
2020-08-17;Libéria;1257;82;788;6.52;62.69;30.79
2020-08-17;Lesotho;903;25;271;2.77;30.01;67.22
2020-08-17;Lituanie;2416;81;1704;3.35;70.53;26.12
2020-08-17;Luxembourg;7458;123;6500;1.65;87.15;11.20
2020-08-17;Lettonie;1322;32;1078;2.42;81.54;16.04
2020-08-17;Libye;8172;153;933;1.87;11.42;86.71
2020-08-17;Maroc;42489;658;29344;1.55;69.06;29.39
2020-08-17;Monaco;146;4;114;2.74;78.08;19.18
2020-08-17;Moldavie;30183;896;21220;2.97;70.30;26.73
2020-08-17;Montenegro;4035;77;2910;1.91;72.12;25.97
2020-08-17;Saint Martin;109;4;49;3.67;44.95;51.38
2020-08-17;Madagascar;13827;170;12424;1.23;89.85;8.92
2020-08-17;Macédoine;12739;544;9174;4.27;72.02;23.71
2020-08-17;Mali;2640;125;1987;4.73;75.27;20.00
2020-08-17;Birmanie;375;6;329;1.60;87.73;10.67
2020-08-17;Mongolie;298;0;276;0.00;92.62;7.38
2020-08-17;Macao;46;0;46;0.00;100.00;0.00
2020-08-17;Martinique;336;16;98;4.76;29.17;66.07
2020-08-17;Mauritanie;6701;157;5985;2.34;89.32;8.34
2020-08-17;Malte;1306;9;749;0.69;57.35;41.96
2020-08-17;Maurice;346;10;334;2.89;96.53;0.58
2020-08-17;Maldives;5785;22;3349;0.38;57.89;41.73
2020-08-17;Malawi;5072;161;2626;3.17;51.77;45.05
2020-08-17;Mexique;522162;56757;424298;10.87;81.26;7.87
2020-08-17;Malaisie;9200;125;8859;1.36;96.29;2.35
2020-08-17;Mozambique;2855;19;1163;0.67;40.74;58.60
2020-08-17;Namibie;4154;35;2370;0.84;57.05;42.10
2020-08-17;Nouvelle-Calédonie;23;0;22;0.00;95.65;4.35
2020-08-17;Niger;1167;69;1078;5.91;92.37;1.71
2020-08-17;Nigéria;49068;975;36497;1.99;74.38;23.63
2020-08-17;Nicaragua;4115;128;2913;3.11;70.79;26.10
2020-08-17;Pays-Bas;64468;6194;345;9.61;0.54;89.86
2020-08-17;Norvège;10005;261;8857;2.61;88.53;8.87
2020-08-17;Népal;26660;104;17335;0.39;65.02;34.59
2020-08-17;Nouvelle-Zélande;1631;22;1531;1.35;93.87;4.78
2020-08-17;Oman;83086;572;77680;0.69;93.49;5.82
2020-08-17;Panama;81940;1767;55001;2.16;67.12;30.72
2020-08-17;Pérou;525803;26075;365367;4.96;69.49;25.55
2020-08-17;Polynésie Française;166;0;64;0.00;38.55;61.45
2020-08-17;Papouasie-Nouvelle-Guinée;323;3;110;0.93;34.06;65.02
2020-08-17;Philippines;161253;2665;112586;1.65;69.82;28.53
2020-08-17;Pakistan;289215;6175;269087;2.14;93.04;4.82
2020-08-17;Pologne;56684;1877;39130;3.31;69.03;27.66
2020-08-17;Palestine;16534;110;9838;0.67;59.50;39.83
2020-08-17;Portugal;54102;1778;39697;3.29;73.37;23.34
2020-08-17;Paraguay;9791;138;6034;1.41;61.63;36.96
2020-08-17;Qatar;115080;193;111794;0.17;97.14;2.69
2020-08-17;Réunion;855;5;657;0.58;76.84;22.57
2020-08-17;Roumanie;70461;2991;32587;4.24;46.25;49.51
2020-08-17;Serbie;29682;674;0;2.27;0.00;97.73
2020-08-17;Russie;920719;15653;731444;1.70;79.44;18.86
2020-08-17;Rwanda;2453;8;1648;0.33;67.18;32.49
2020-08-17;Arabie Saoudite;298542;3408;266953;1.14;89.42;9.44
2020-08-17;Seychelles;127;0;126;0.00;99.21;0.79
2020-08-17;Soudan;12314;798;6350;6.48;51.57;41.95
2020-08-17;Suède;84294;5783;0;6.86;0.00;93.14
2020-08-17;Singapour;55747;27;51953;0.05;93.19;6.76
2020-08-17;Slovénie;2416;129;2051;5.34;84.89;9.77
2020-08-17;Slovaquie;2902;31;1969;1.07;67.85;31.08
2020-08-17;Sierra Leone;1956;69;1506;3.53;76.99;19.48
2020-08-17;Saint-Marin;699;42;657;6.01;93.99;0.00
2020-08-17;Sénégal;12162;253;7677;2.08;63.12;34.80
2020-08-17;Somalie;3256;93;2374;2.86;72.91;24.23
2020-08-17;Suriname;3016;47;2036;1.56;67.51;30.94
2020-08-17;Soudan du sud;2489;47;1175;1.89;47.21;50.90
2020-08-17;Sao Tomé-et-Principe;885;15;818;1.69;92.43;5.88
2020-08-17;El Salvador;22912;618;10814;2.70;47.20;50.10
2020-08-17;Syrie;1677;64;417;3.82;24.87;71.32
2020-08-17;Eswatini;3839;70;2268;1.82;59.08;39.10
2020-08-17;Tchad;956;76;865;7.95;90.48;1.57
2020-08-17;Togo;1147;27;843;2.35;73.50;24.15
2020-08-17;Thaïlande;3378;58;3194;1.72;94.55;3.73
2020-08-17;Tadjikistan;8065;64;6855;0.79;85.00;14.21
2020-08-17;Timor-Leste;25;0;24;0.00;96.00;4.00
2020-08-17;Tunisie;2107;54;1358;2.56;64.45;32.99
2020-08-17;Turquie;249309;5974;230969;2.40;92.64;4.96
2020-08-17;Trinité-et-Tobago;552;11;140;1.99;25.36;72.64
2020-08-17;Taïwan;484;7;450;1.45;92.98;5.58
2020-08-17;Tanzanie;509;21;183;4.13;35.95;59.92
2020-08-17;Ukraine;94954;2121;49688;2.23;52.33;45.44
2020-08-17;Ouganda;1500;13;1142;0.87;76.13;23.00
2020-08-17;États-Unis;5403361;170052;1833067;3.15;33.92;62.93
2020-08-17;Uruguay;1440;38;1200;2.64;83.33;14.03
2020-08-17;Ouzbékistan;35513;234;30973;0.66;87.22;12.13
2020-08-17;Vatican;12;0;12;0.00;100.00;0.00
2020-08-17;St-Vincent / Grenadines;57;0;55;0.00;96.49;3.51
2020-08-17;Venezuela;33755;281;22700;0.83;67.25;31.92
2020-08-17;Viet Nam;964;24;456;2.49;47.30;50.21
2020-08-17;Kosovo;11275;390;6961;3.46;61.74;34.80
2020-08-17;Yémen;1869;530;1013;28.36;54.20;17.44
2020-08-17;Mayotte;3119;39;2940;1.25;94.26;4.49
2020-08-17;Afrique du Sud;587345;11839;472377;2.02;80.43;17.56
2020-08-17;Zambie;9343;260;8412;2.78;90.04;7.18
2020-08-17;Zimbabwe;5261;132;2092;2.51;39.76;57.73
2020-08-17;Autres;721;15;651;2.08;90.29;7.63
2020-08-16;Autres;721;15;651;2.08;90.29;7.63
2020-08-16;Zimbabwe;5261;132;2092;2.51;39.76;57.73
2020-08-16;Zambie;9343;260;8412;2.78;90.04;7.18
2020-08-16;Afrique du Sud;587345;11839;472377;2.02;80.43;17.56
2020-08-16;Mayotte;3119;39;2940;1.25;94.26;4.49
2020-08-16;Yémen;1869;530;1013;28.36;54.20;17.44
2020-08-16;Kosovo;11275;390;6961;3.46;61.74;34.80
2020-08-16;Viet Nam;964;24;456;2.49;47.30;50.21
2020-08-16;Venezuela;33755;281;22700;0.83;67.25;31.92
2020-08-16;St-Vincent / Grenadines;57;0;55;0.00;96.49;3.51
2020-08-16;Vatican;12;0;12;0.00;100.00;0.00
2020-08-16;Ouzbékistan;35329;232;30973;0.66;87.67;11.67
2020-08-16;Uruguay;1440;38;1200;2.64;83.33;14.03
2020-08-16;États-Unis;5403213;170052;1833067;3.15;33.93;62.93
2020-08-16;Ouganda;1500;13;1142;0.87;76.13;23.00
2020-08-16;Ukraine;93490;2100;49346;2.25;52.78;44.97
2020-08-16;Tanzanie;509;21;183;4.13;35.95;59.92
2020-08-16;Taïwan;484;7;450;1.45;92.98;5.58
2020-08-16;Trinité-et-Tobago;552;11;140;1.99;25.36;72.64
2020-08-16;Turquie;249309;5974;230969;2.40;92.64;4.96
2020-08-16;Tunisie;2107;54;1358;2.56;64.45;32.99
2020-08-16;Timor-Leste;25;0;24;0.00;96.00;4.00
2020-08-16;Tadjikistan;8065;64;6855;0.79;85.00;14.21
2020-08-16;Thaïlande;3378;58;3194;1.72;94.55;3.73
2020-08-16;Togo;1147;27;843;2.35;73.50;24.15
2020-08-16;Tchad;956;76;865;7.95;90.48;1.57
2020-08-16;Eswatini;3839;70;2268;1.82;59.08;39.10
2020-08-16;Syrie;1677;64;417;3.82;24.87;71.32
2020-08-16;El Salvador;22912;612;10807;2.67;47.17;50.16
2020-08-16;Sao Tomé-et-Principe;885;15;818;1.69;92.43;5.88
2020-08-16;Soudan du sud;2489;47;1175;1.89;47.21;50.90
2020-08-16;Suriname;3016;47;2036;1.56;67.51;30.94
2020-08-16;Somalie;3256;93;2374;2.86;72.91;24.23
2020-08-16;Sénégal;12162;253;7677;2.08;63.12;34.80
2020-08-16;Saint-Marin;699;42;657;6.01;93.99;0.00
2020-08-16;Sierra Leone;1956;69;1506;3.53;76.99;19.48
2020-08-16;Slovaquie;2902;31;1969;1.07;67.85;31.08
2020-08-16;Singapour;55747;27;51953;0.05;93.19;6.76
2020-08-16;Slovénie;2416;129;2051;5.34;84.89;9.77
2020-08-16;Suède;84294;5783;0;6.86;0.00;93.14
2020-08-16;Soudan;12314;798;6350;6.48;51.57;41.95
2020-08-16;Seychelles;127;0;126;0.00;99.21;0.79
2020-08-16;Arabie Saoudite;298542;3408;266953;1.14;89.42;9.44
2020-08-16;Rwanda;2453;8;1648;0.33;67.18;32.49
